[?1034hType                                  Module                      Label             Process        
---------------------------------------------------------------------------------------------------
edm::TriggerResults                   "TriggerResults"            ""                "HLT"          
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"          
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"         
double                                "fixedGridRhoFastjetAll"    ""                "RECO"         
edm::TriggerResults                   "TriggerResults"            ""                "RECO"         
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"         
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"         
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"         
vector<reco::Conversion>              "allConversions"            ""                "RECO"         
vector<reco::Conversion>              "conversions"               ""                "RECO"         
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "RECO"         
vector<reco::GsfTrackExtra>           "electronGsfTracks"         ""                "RECO"         
vector<reco::PFMET>                   "pfMet"                     ""                "RECO"         
vector<reco::Track>                   "alcaElectronTracksReducer"   ""                "RECO"         
vector<reco::TrackExtra>              "alcaElectronTracksReducer"   "alCaElectronTracksExtra"   "RECO"         
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "RECO"         
vector<reco::Vertex>                  "offlinePrimaryVerticesWithBS"   ""                "RECO"         
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "alCaIsolatedElectrons"     "alcaBarrelHits"   "ALCARERECO"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "alCaIsolatedElectrons"     "alcaEndcapHits"   "ALCARERECO"   
edm::TriggerResults                   "TriggerResults"            ""                "ALCARERECO"   
vector<reco::CaloCluster>             "alCaIsolatedElectrons"     "alcaCaloCluster"   "ALCARERECO"   
vector<reco::CaloCluster>             "cleanedHybridSuperClusters"   "hybridBarrelBasicClusters"   "ALCARERECO"   
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "ALCARERECO"   
vector<reco::CaloCluster>             "multi5x5BasicClustersCleaned"   "multi5x5BarrelBasicClusters"   "ALCARERECO"   
vector<reco::CaloCluster>             "multi5x5BasicClustersCleaned"   "multi5x5EndcapBasicClusters"   "ALCARERECO"   
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "ALCARERECO"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "ALCARERECO"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "ALCARERECO"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "ALCARERECO"   
vector<reco::GsfElectron>             "electronRecalibSCAssociator"   ""                "ALCARERECO"   
vector<reco::GsfElectronCore>         "electronRecalibSCAssociator"   ""                "ALCARERECO"   
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "ALCARERECO"   
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "ALCARERECO"   
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "ALCARERECO"   
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "ALCARERECO"   
vector<reco::SuperCluster>            "SCselector"                ""                "ALCARERECO"   
vector<reco::SuperCluster>            "cleanedHybridSuperClusters"   ""                "ALCARERECO"   
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "ALCARERECO"   
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "ALCARERECO"   
vector<reco::SuperCluster>            "hybridSuperClusters"       ""                "ALCARERECO"   
vector<reco::SuperCluster>            "multi5x5SuperClustersWithPreshower"   ""                "ALCARERECO"   
vector<reco::SuperCluster>            "multi5x5SuperClustersCleaned"   "multi5x5BarrelSuperClusters"   "ALCARERECO"   
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "multi5x5EndcapSuperClusters"   "ALCARERECO"   
vector<reco::SuperCluster>            "multi5x5SuperClustersCleaned"   "multi5x5EndcapSuperClusters"   "ALCARERECO"   
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "ALCARERECO"   
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "ALCARERECO"   
unsigned int                          "bunchSpacingProducer"      ""                "ALCARERECO"   
